"id","name","type","is_substitute","status","election","coalition","constituency.id","constituency.id"
76,Pastef GOUDIRY suppléant,departmental,TRUE,draft,1,31,38
77,Pastef KOUMPENTOUM titulaire,departmental,FALSE,draft,1,31,39
78,Pastef KOUMPENTOUM suppléant,departmental,TRUE,draft,1,31,39
79,Pastef TAMBACOUNDA titulaire,departmental,FALSE,draft,1,31,40
80,Pastef TAMBACOUNDA suppléant,departmental,TRUE,draft,1,31,40
81,Pastef MBOUR titulaire,departmental,FALSE,draft,1,31,41
82,Pastef MBOUR suppléant,departmental,TRUE,draft,1,31,41
83,Pastef THIES titulaire,departmental,FALSE,draft,1,31,42
84,Pastef THIES suppléant,departmental,TRUE,draft,1,31,42
85,Pastef TIVAOUANE titulaire,departmental,FALSE,draft,1,31,43
86,Pastef TIVAOUANE suppléant,departmental,TRUE,draft,1,31,43
87,Pastef BIGNONA titulaire,departmental,FALSE,draft,1,31,44
88,Pastef BIGNONA suppléant,departmental,TRUE,draft,1,31,44
89,Pastef OUSSOUYE titulaire,departmental,FALSE,draft,1,31,45
90,Pastef OUSSOUYE suppléant,departmental,TRUE,draft,1,31,45
91,Pastef ZIGUINCHOR titulaire,departmental,FALSE,draft,1,31,46
92,Pastef ZIGUINCHOR suppléant,departmental,TRUE,draft,1,31,46
93,Pastef AFRIQUE AUSTRALE titulaire,departmental,FALSE,draft,1,31,47
94,Pastef AFRIQUE AUSTRALE suppléant,departmental,TRUE,draft,1,31,47
95,Pastef AFRIQUE CENTRE titulaire,departmental,FALSE,draft,1,31,48
96,Pastef AFRIQUE CENTRE suppléant,departmental,TRUE,draft,1,31,48
97,Pastef AFRIQUE NORD titulaire,departmental,FALSE,draft,1,31,49
98,Pastef AFRIQUE NORD suppléant,departmental,TRUE,draft,1,31,49
99,Pastef AFRIQUE OUEST titulaire,departmental,FALSE,draft,1,31,50
100,Pastef AFRIQUE OUEST suppléant,departmental,TRUE,draft,1,31,50
101,Pastef AMERIQUE OCEANIE titulaire,departmental,FALSE,draft,1,31,51
102,Pastef AMERIQUE OCEANIE suppléant,departmental,TRUE,draft,1,31,51
103,Pastef ASIE MOYEN ORIENT titulaire,departmental,FALSE,draft,1,31,52
104,Pastef ASIE MOYEN ORIENT suppléant,departmental,TRUE,draft,1,31,52
105,Pastef EUROPE DU SUD titulaire,departmental,FALSE,draft,1,31,53
106,Pastef EUROPE DU SUD suppléant,departmental,TRUE,draft,1,31,53
107,Pastef EUROPE OUEST CENTRE NORD titulaire,departmental,FALSE,draft,1,31,54
108,Pastef EUROPE OUEST CENTRE NORD suppléant,departmental,TRUE,draft,1,31,54
